Player Health, Player Score, Companion Health, Companion Score, Companion Distance, Enemy Count
1453733964.40727, 40, 0, 40, 0, 26.40254, 10
1453733964.40727, 40, 0, 40, 0, 29.45715, 10
1453733964.40727, 40, 0, 40, 0, 33.48344, 10
1453733964.40727, 40, 0, 40, 0, 38.30947, 10
1453733964.40727, 40, 0, 40, 0, 42.98939, 10
1453733964.40727, 40, 0, 40, 0, 47.91684, 10
1453733964.40727, 40, 0, 40, 0, 52.57603, 10
1453733964.40727, 40, 0, 40, 0, 55.31213, 10
1453733964.40727, 40, 0, 40, 0, 57.95437, 10
1453733964.40727, 40, 0, 40, 0, 60.20458, 10
1453733964.40727, 40, 0, 40, 0, 60.74868, 10
1453733964.40727, 40, 0, 40, 0, 59.91756, 10
1453733964.40727, 40, 0, 40, 0, 58.38052, 10
1453733964.40727, 40, 0, 40, 0, 56.67929, 10
1453733964.40727, 40, 0, 40, 0, 54.65659, 10
1453733964.40727, 40, 0, 40, 0, 52.42444, 10
1453733964.40727, 40, 0, 40, 0, 49.69558, 10
1453733964.40727, 40, 0, 40, 0, 46.98501, 10
1453733964.40727, 40, 0, 40, 0, 44.44368, 10
1453733964.40727, 40, 0, 40, 0, 43.71912, 10
1453733964.40727, 40, 0, 40, 0, 44.86162, 10
1453733964.40727, 40, 0, 40, 0, 45.99028, 10
1453733964.40727, 40, 0, 40, 0, 46.88024, 10
1453733964.40727, 40, 0, 40, 0, 47.83424, 10
1453733964.40727, 40, 0, 40, 0, 49.38507, 10
1453733964.40727, 40, 0, 40, 0, 51.54379, 10
1453733964.40727, 40, 0, 40, 0, 54.36193, 10
1453733964.40727, 40, 0, 40, 0, 58.38514, 10
1453733964.40727, 40, 0, 40, 0, 63.05722, 10
1453733964.40727, 40, 0, 40, 0, 68.85542, 10
1453734171, 40, 0, 40, 0, 119.3634, 10
1453734171, 40, 0, 40, 0, 114.781, 10
1453734171, 40, 0, 40, 0, 109.2889, 10
1453734171, 40, 0, 40, 0, 102.9287, 10
1453734171, 40, 0, 40, 0, 98.53167, 10
1453734171, 40, 0, 40, 0, 96.45146, 10
1453734171, 40, 0, 40, 0, 98.32819, 10
1453734171, 40, 0, 40, 0, 104.5361, 10
1453734171, 40, 0, 40, 0, 112.4028, 10
1453734171, 40, 0, 40, 0, 119.7473, 10
1453734171, 40, 0, 40, 0, 125.156, 10
1453734171, 40, 0, 40, 0, 130.8978, 10
1453734171, 40, 0, 40, 0, 133.3384, 10
1453734171, 40, 0, 40, 0, 132.4687, 10
1453734171, 40, 0, 40, 0, 130.1023, 10
1453734171, 40, 0, 40, 0, 129.2108, 10
1453734171, 40, 0, 40, 0, 129.8041, 10
1453734171, 40, 0, 40, 0, 130.7262, 10
1453734171, 40, 0, 40, 0, 130.8567, 10
1453734171, 40, 0, 40, 0, 129.1771, 10
1453734171, 40, 0, 40, 0, 124.9389, 10
1453734171, 40, 0, 40, 0, 121.2877, 10
1453734171, 40, 0, 40, 0, 118.9829, 10
1453734171, 40, 0, 40, 0, 118.7712, 10
1453734171, 40, 0, 40, 0, 119.6352, 10
1453734171, 40, 0, 40, 0, 121.6035, 10
1453734171, 40, 0, 40, 0, 124.1496, 10
1453734171, 40, 0, 40, 0, 123.566, 10
1453734171, 40, 0, 40, 0, 122.4427, 10
1453734171, 40, 0, 40, 0, 121.6955, 10
1453734374, 40, 0, 40, 0, 113.4302, 10
1453734374, 40, 0, 40, 0, 112.0426, 10
1453734374, 40, 0, 40, 0, 111.5413, 10
1453734374, 40, 0, 40, 0, 113.0387, 10
1453734374, 40, 0, 40, 0, 117.266, 10
1453734374, 40, 0, 40, 0, 123.6386, 10
1453734374, 40, 0, 40, 0, 132.9437, 10
1453734374, 40, 0, 40, 0, 142.3171, 10
1453734374, 40, 0, 40, 0, 146.9633, 10
1453734374, 40, 0, 40, 0, 146.9157, 10
1453734374, 40, 0, 40, 0, 146.8725, 10
1453734374, 40, 0, 40, 0, 146.8351, 10
1453734374, 40, 0, 40, 0, 146.8017, 10
1453734374, 40, 0, 40, 0, 146.7724, 10
1453734374, 40, 0, 40, 0, 146.7486, 10
1453734374, 40, 0, 40, 0, 146.7287, 10
1453734374, 40, 0, 40, 0, 146.7136, 10
1453734374, 40, 0, 40, 0, 146.703, 10
1453734374, 40, 0, 40, 0, 146.6967, 10
1453734374, 40, 0, 40, 0, 146.695, 10
1453734374, 40, 0, 40, 0, 146.6981, 10
1453734374, 40, 0, 40, 0, 146.7057, 10
1453734374, 40, 0, 40, 0, 146.7177, 10
1453734374, 40, 0, 40, 0, 146.7341, 10
1453734374, 40, 0, 40, 0, 146.7549, 10
1453734374, 40, 0, 40, 0, 146.7805, 10
1453734374, 40, 0, 40, 0, 146.8108, 10
1453734374, 40, 0, 40, 0, 146.8452, 10
1453734374, 40, 0, 40, 0, 146.884, 10
1453734374, 40, 0, 40, 0, 146.928, 10
1453734595, 40, 0, 40, 0, 55.49063, 10
1453734595, 40, 0, 40, 0, 54.17524, 10
1453734595, 40, 0, 40, 0, 50.86545, 10
1453734595, 40, 0, 40, 0, 46.31507, 10
1453734595, 40, 0, 40, 0, 43.17936, 10
1453734595, 40, 0, 40, 0, 41.02585, 10
1453734595, 40, 0, 40, 0, 40.42418, 10
1453734595, 40, 0, 40, 0, 41.22238, 10
1453734595, 40, 0, 40, 0, 41.97134, 10
1453734595, 40, 0, 40, 0, 43.16457, 10
1453734595, 40, 0, 40, 0, 44.25426, 10
1453734595, 40, 1, 40, 0, 45.2807, 10
1453734595, 40, 1, 40, 0, 46.30188, 10
1453734595, 40, 2, 40, 0, 47.38748, 10
1453734595, 40, 3, 40, 0, 48.11914, 10
1453734595, 40, 3, 40, 0, 49.69657, 10
1453734595, 40, 3, 40, 0, 51.72173, 10
1453734595, 40, 3, 40, 0, 53.62709, 10
1453734595, 40, 3, 40, 0, 55.40425, 10
1453734595, 40, 3, 40, 0, 57.11063, 10
1453734595, 40, 3, 40, 0, 60.67106, 10
1453734595, 40, 3, 40, 0, 66.2339, 10
1453734595, 40, 3, 40, 0, 69.53765, 10
1453734595, 40, 3, 40, 0, 65.97923, 10
1453734595, 40, 6, 40, 0, 61.96332, 10
1453734595, 45, 7, 45, 0, 57.85422, 20
1453734595, 45, 7, 45, 0, 53.68468, 20
1453734595, 45, 7, 45, 0, 49.69732, 20
1453734595, 45, 7, 45, 0, 45.66306, 20
1453734595, 45, 7, 45, 0, 41.71919, 20
1453734595, 40, 0, 40, 0, 55.49063, 10
1453734595, 40, 0, 40, 0, 54.17524, 10
1453734595, 40, 0, 40, 0, 50.86545, 10
1453734595, 40, 0, 40, 0, 46.31507, 10
1453734595, 40, 0, 40, 0, 43.17936, 10
1453734595, 40, 0, 40, 0, 41.02585, 10
1453734595, 40, 0, 40, 0, 40.42418, 10
1453734595, 40, 0, 40, 0, 41.22238, 10
1453734595, 40, 0, 40, 0, 41.97134, 10
1453734595, 40, 0, 40, 0, 43.16457, 10
1453734595, 40, 0, 40, 0, 44.25426, 10
1453734595, 40, 1, 40, 0, 45.2807, 10
1453734595, 40, 1, 40, 0, 46.30188, 10
1453734595, 40, 2, 40, 0, 47.38748, 10
1453734595, 40, 3, 40, 0, 48.11914, 10
1453734595, 40, 3, 40, 0, 49.69657, 10
1453734595, 40, 3, 40, 0, 51.72173, 10
1453734595, 40, 3, 40, 0, 53.62709, 10
1453734595, 40, 3, 40, 0, 55.40425, 10
1453734595, 40, 3, 40, 0, 57.11063, 10
1453734595, 40, 3, 40, 0, 60.67106, 10
1453734595, 40, 3, 40, 0, 66.2339, 10
1453734595, 40, 3, 40, 0, 69.53765, 10
1453734595, 40, 3, 40, 0, 65.97923, 10
1453734595, 40, 6, 40, 0, 61.96332, 10
1453734595, 45, 7, 45, 0, 57.85422, 20
1453734595, 45, 7, 45, 0, 53.68468, 20
1453734595, 45, 7, 45, 0, 49.69732, 20
1453734595, 45, 7, 45, 0, 45.66306, 20
1453734595, 45, 7, 45, 0, 41.71919, 20
1453734595, 45, 7, 45, 0, 38.24052, 20
1453734595, 45, 7, 45, 0, 35.72754, 20
1453734595, 45, 7, 45, 0, 33.64731, 20
1453734595, 45, 7, 45, 0, 31.78398, 20
